accession	validation_status
ENCSR627NIF	silver
ENCSR932KWJ	silver
ENCSR924BBB	silver
ENCSR289VKA	ungradable
ENCSR115TQJ	silver
ENCSR097BWW	silver
ENCSR508MPY	silver
ENCSR376LUC	silver
ENCSR813CKU	bronze
ENCSR959ZXU	silver
ENCSR559WMK	bronze
ENCSR226TUE	silver
ENCSR104RCG	unreleasable
ENCSR452SPC	silver
ENCSR717JVC	silver
ENCSR705CNJ	silver
ENCSR369NDR	silver
ENCSR475VQD	silver
ENCSR127PWK	bronze
ENCSR095GWE	unreleasable
ENCSR503HIB	silver
ENCSR936JCW	ungradable
ENCSR700ILE	silver
ENCSR446MUM	silver
ENCSR678ILN	ungradable
ENCSR744QGM	ungradable
ENCSR458LIB	silver
ENCSR626RVD	unreleasable
ENCSR785BDQ	silver
ENCSR940NLN	silver
ENCSR426IEA	silver
ENCSR019JDO	silver
ENCSR346JWH	silver
ENCSR000FEK	ungradable
ENCSR000FJL	ungradable
ENCSR592DQC	ungradable
ENCSR782ONY	bronze
ENCSR456SOX	ungradable
ENCSR237WJY	ungradable
ENCSR475SYH	ungradable
ENCSR501FWC	bronze
ENCSR121ZSL	bronze
ENCSR579BNV	ungradable
ENCSR809LCE	bronze
ENCSR865ICK	ungradable
ENCSR575VMI	bronze
ENCSR855DJV	ungradable
ENCSR749BWV	ungradable
ENCSR790FIS	ungradable
ENCSR818JGZ	ungradable
ENCSR699ZLY	ungradable
ENCSR038XTK	ungradable
ENCSR174TIP	ungradable
ENCSR435NHO	ungradable
ENCSR499IFY	ungradable
ENCSR410OTF	ungradable
ENCSR901BRM	ungradable
ENCSR907VOR	ungradable
ENCSR217SET	ungradable
ENCSR863XNX	ungradable
ENCSR285IHF	bronze
ENCSR532CRI	ungradable
ENCSR593LTJ	bronze
ENCSR937UWI	silver
ENCSR845CFB	silver
ENCSR493IAY	silver
ENCSR172RHR	silver
ENCSR066WZJ	silver
ENCSR332ZJL	silver
ENCSR515EWI	silver
ENCSR224IYD	ungradable
ENCSR595CSH	silver
ENCSR659DJG	ungradable
ENCSR829MXU	silver
ENCSR988YKR	ungradable
ENCSR969OPE	ungradable
ENCSR094XAY	ungradable
ENCSR005WPU	ungradable
ENCSR658AGW	ungradable
ENCSR066DPD	ungradable
ENCSR216UMD	ungradable
ENCSR318PRQ	silver
ENCSR564JUY	silver
ENCSR372WYN	silver
ENCSR424WVH	ungradable
ENCSR148VUP	silver
ENCSR274JIR	ungradable
ENCSR209TXI	ungradable
ENCSR963ALV	unreleasable
ENCSR228IKB	bronze
ENCSR158VAT	bronze
ENCSR522WLH	bronze
ENCSR999VSM	ungradable
ENCSR998VSM	ungradable
ENCSR996VSM	ungradable
ENCSR337EDG	bronze
ENCSR116BJD	ungradable
ENCSR584LUZ	silver
ENCSR346IHH	silver
ENCSR303CLM	silver
ENCSR207TUX	bronze
ENCSR820WLP	bronze
ENCSR312QVY	bronze
ENCSR742DUR	bronze
ENCSR179PIH	silver
ENCSR791AJY	bronze
ENCSR997VSM	ungradable
ENCSR995VSM	ungradable
ENCSR512CWR	bronze
ENCSR049IPR	bronze
ENCSR782XFY	silver
ENCSR269SIA	silver
ENCSR113YGQ	silver
ENCSR662HMO	silver
ENCSR946MVP	silver
ENCSR666HFH	bronze
ENCSR265TEK	silver
ENCSR594NOE	silver
ENCSR052AWE	silver
ENCSR489NAM	silver
ENCSR175IWT	silver
ENCSR986YWZ	silver
ENCSR859CZM	silver
ENCSR768OLL	silver
ENCSR382JUJ	silver
ENCSR657XJU	bronze
ENCSR000FJH	ungradable
ENCSR000FFJ	ungradable
ENCSR000FDI	ungradable
ENCSR814KRX	bronze
ENCSR771DAX	silver
ENCSR170RFD	ungradable
ENCSR507GFJ	bronze
ENCSR706IDL	silver
ENCSR793WUR	bronze
ENCSR751YPU	silver
ENCSR257BGZ	silver
ENCSR488VEQ	bronze
ENCSR257CIZ	bronze
ENCSR664PKM	silver
ENCSR804RSI	silver
ENCSR493VDS	silver
ENCSR910OQF	silver
ENCSR015BGH	silver
ENCSR648ZBG	ungradable
ENCSR809CEA	ungradable
ENCSR083STA	silver
ENCSR149XIL	silver
ENCSR982JMP	ungradable
ENCSR636VCX	ungradable
ENCSR101TGA	ungradable
ENCSR324UCN	ungradable
ENCSR914PJE	ungradable
ENCSR229PFU	ungradable
ENCSR167DFU	ungradable
ENCSR627GNV	ungradable
ENCSR447ULX	ungradable
ENCSR577TXK	ungradable
ENCSR945ENZ	ungradable
ENCSR498GAH	unreleasable
ENCSR514EOB	ungradable
ENCSR560CCF	ungradable
ENCSR137EEM	ungradable
ENCSR638HMQ	ungradable
ENCSR820ICX	silver
ENCSR374YBC	ungradable
ENCSR154AVE	ungradable
ENCSR319PWR	unreleasable
ENCSR240TPI	silver
ENCSR855ASN	silver
ENCSR873PLF	ungradable
ENCSR548MMD	silver
ENCSR687EAW	silver
ENCSR622RJN	ungradable
ENCSR405TXU	silver
ENCSR998KYQ	unreleasable
ENCSR008SDL	ungradable
ENCSR691MQJ	unreleasable
ENCSR964VDK	ungradable
ENCSR518HJD	ungradable
ENCSR141VJJ	ungradable
ENCSR301OGM	silver
ENCSR582IPV	silver
ENCSR217TAW	silver
ENCSR372SMH	silver
ENCSR004SUL	silver
ENCSR621ENC	bronze
ENCSR079SXR	silver
ENCSR474GZQ	silver
ENCSR551FTE	silver
ENCSR620WAR	silver
ENCSR759UNY	silver
ENCSR860QME	bronze
ENCSR541CFI	silver
ENCSR039VTS	unreleasable
ENCSR723IXU	bronze
ENCSR560SGD	ungradable
ENCSR774TQO	silver
ENCSR098PTC	silver
ENCSR420NOA	silver
ENCSR855FOP	bronze
ENCSR362JSZ	silver
ENCSR964MZQ	bronze
ENCSR037PGI	bronze
ENCSR503BEM	ungradable
ENCSR215FCQ	ungradable
ENCSR979ZJS	ungradable
ENCSR967DXR	ungradable
ENCSR504WYA	ungradable
ENCSR527IGO	ungradable
ENCSR529ATP	ungradable
ENCSR657DFR	ungradable
ENCSR136KEL	unreleasable
ENCSR358ESL	silver
ENCSR196VDE	silver
ENCSR469VGZ	silver
ENCSR935RRY	silver
ENCSR661HDP	silver
ENCSR367FCW	silver
ENCSR767AJS	silver
ENCSR364MFN	silver
ENCSR171ETY	bronze
ENCSR902XFY	ungradable
ENCSR848XIY	bronze
ENCSR292QBA	bronze
ENCSR959HKR	silver
ENCSR636NXY	silver
