accession	validation_status
ENCSR985XGK	ungradable
ENCSR632GYF	bronze
ENCSR458JVO	bronze
ENCSR177YJM	silver
ENCSR356VOK	bronze
ENCSR187NWZ	bronze
ENCSR093UPQ	ungradable
ENCSR765LMM	ungradable
ENCSR000AGZ	bronze
ENCSR337VPD	gold
ENCSR602PHV	ungradable
ENCSR104PJD	bronze
ENCSR000AHB	gold
ENCSR295GUQ	ungradable
ENCSR007RIV	gold
ENCSR469ZUS	gold
ENCSR970OWZ	gold
ENCSR260RBO	gold
ENCSR000AHC	bronze
ENCSR824YLV	gold
ENCSR582BUX	gold
ENCSR000AGT	bronze
ENCSR000AGY	gold
ENCSR171YRA	gold
ENCSR285LDX	bronze
ENCSR288DOX	ungradable
ENCSR540YVD	ungradable
ENCSR000AGS	bronze
ENCSR239ZQA	ungradable
ENCSR352ANU	ungradable
ENCSR936TYP	gold
ENCSR000AGW	gold
ENCSR880BIV	bronze
ENCSR000AEI	gold
ENCSR850NOP	bronze
ENCSR000AGL	gold
ENCSR612EAO	gold
ENCSR836WAX	ungradable
ENCSR724SZY	bronze
ENCSR022VBF	bronze
ENCSR540CRO	gold
ENCSR855LXJ	ungradable
ENCSR069LRO	gold
ENCSR842NGM	ungradable
ENCSR685AAO	ungradable
ENCSR000AHA	bronze
ENCSR000AGV	bronze
ENCSR022PAU	ungradable
ENCSR419VNG	gold
ENCSR479BMI	ungradable
ENCSR000AGQ	bronze
ENCSR000AGM	bronze
ENCSR786DTS	ungradable
ENCSR852KOV	gold
ENCSR080XAB	ungradable
ENCSR000AGO	bronze
ENCSR410OSB	ungradable
ENCSR002MPN	bronze
ENCSR108KHH	ungradable
ENCSR166TEB	ungradable
ENCSR861MQP	ungradable
ENCSR949PHV	ungradable
ENCSR585QYX	silver
ENCSR000AGR	gold
ENCSR100NLN	gold
ENCSR000AGP	gold
ENCSR000AGN	gold
ENCSR613JNT	gold
ENCSR054RIR	gold
ENCSR506WDZ	ungradable
ENCSR208AWA	gold
ENCSR000AGX	bronze
ENCSR663WYF	gold
ENCSR700NMZ	silver
ENCSR000AGK	bronze
ENCSR376IXU	gold
ENCSR000AER	ungradable
ENCSR348DYP	bronze
ENCSR744TNY	ungradable
ENCSR000AGU	bronze
ENCSR507GYW	ungradable
ENCSR000AGJ	gold
ENCSR290RXI	gold
