accession	validation_status
ENCSR805AZV	ungradable
ENCSR825UDE	ungradable
ENCSR481OYZ	ungradable
ENCSR382UMJ	ungradable
ENCSR516XOY	ungradable
ENCSR808KCH	ungradable
ENCSR849OTL	ungradable
ENCSR419KEN	ungradable
ENCSR225LWF	ungradable
ENCSR000AJX	ungradable
ENCSR857WJK	gold
ENCSR035SKV	gold
ENCSR800WIY	gold
ENCSR630VJN	gold
ENCSR528ZKN	gold
ENCSR740YMS	gold
ENCSR510MIA	gold
ENCSR812AKX	gold
ENCSR474TRG	gold
ENCSR485WBR	gold
ENCSR827IXS	gold
ENCSR354QPN	gold
ENCSR035BWW	ungradable
ENCSR351OTL	gold
ENCSR094GVZ	gold
ENCSR000AIZ	silver
ENCSR620LQN	gold
ENCSR438YPF	gold
ENCSR406SAW	gold
ENCSR164OCT	silver
ENCSR749BAG	silver
ENCSR000AFS	silver
ENCSR752RGN	gold
ENCSR610CDO	bronze
ENCSR376XXO	bronze
ENCSR268AXN	silver
ENCSR080EVZ	silver
ENCSR178GUS	gold
ENCSR906YQZ	gold
ENCSR823VEE	silver
ENCSR000AFD	gold
ENCSR290RRR	gold
ENCSR504GEG	silver
ENCSR908ZAS	silver
ENCSR244ISQ	bronze
ENCSR828LSC	bronze
ENCSR052FJA	silver
ENCSR673PND	bronze
ENCSR250STJ	bronze
ENCSR853BNH	gold
ENCSR727FHP	gold
ENCSR216NEG	gold
ENCSR379YAE	bronze
ENCSR340NCF	silver
ENCSR946ZYO	gold
ENCSR946PCR	ungradable
ENCSR366ZAM	ungradable
ENCSR365ZCS	ungradable
ENCSR390CXB	ungradable
ENCSR479VCZ	ungradable
ENCSR727QOY	ungradable
ENCSR516XQA	ungradable
ENCSR863MVQ	ungradable
ENCSR365GTN	ungradable
ENCSR160IIN	bronze
ENCSR000AFF	silver
ENCSR000AFN	silver
ENCSR626WAX	bronze
ENCSR039ADS	gold
ENCSR000AAE	silver
ENCSR000AAI	silver
ENCSR000AEL	silver
ENCSR603RPC	bronze
ENCSR166QLP	silver
ENCSR157NLF	silver
ENCSR109IQO	bronze
ENCSR938LSP	silver
ENCSR000AAH	silver
ENCSR000AFG	silver
ENCSR000AEF	silver
ENCSR285WZV	silver
ENCSR921PRX	gold
ENCSR173PJN	gold
ENCSR792RJV	gold
ENCSR000AJV	bronze
ENCSR822SUG	silver
ENCSR919MZM	bronze
ENCSR017JEG	gold
ENCSR919QJT	silver
ENCSR362AIZ	bronze
ENCSR620NSN	silver
ENCSR310FIS	bronze
ENCSR653DFZ	bronze
ENCSR468ION	bronze
ENCSR420NLC	bronze
ENCSR000AAP	gold
ENCSR000AFB	silver
ENCSR000AEZ	silver
ENCSR225BBK	bronze
ENCSR331XCE	gold
ENCSR000AAR	silver
ENCSR000AFL	silver
ENCSR000AFI	silver
ENCSR000AEM	silver
ENCSR968YZV	bronze
ENCSR537GNQ	gold
ENCSR814JMM	silver
ENCSR758TAD	silver
ENCSR848HOX	gold
ENCSR000AFJ	bronze
ENCSR000AEY	gold
ENCSR000AEC	silver
ENCSR265YFZ	bronze
ENCSR000AEQ	silver
ENCSR000AAF	gold
ENCSR907JUN	bronze
ENCSR946HWC	silver
ENCSR466KZY	bronze
ENCSR000AAJ	silver
ENCSR691OPQ	silver
ENCSR000AFA	silver
ENCSR830IVQ	gold
ENCSR000AEV	silver
ENCSR000AAT	silver
ENCSR000AED	silver
ENCSR000AAL	silver
ENCSR760TOE	silver
ENCSR611PTP	gold
ENCSR370SFB	gold
ENCSR401BSG	gold
ENCSR000AAK	silver
ENCSR964EPR	bronze
ENCSR905KHW	silver
ENCSR000AAQ	silver
ENCSR000AEO	silver
ENCSR000AGA	bronze
ENCSR004XCU	silver
ENCSR541XZK	gold
ENCSR848GST	gold
ENCSR592MSV	bronze
ENCSR284AMY	gold
ENCSR000AEH	bronze
ENCSR000AFM	bronze
ENCSR000AAA	silver
ENCSR772FQU	silver
ENCSR415JJO	bronze
ENCSR307BCA	gold
ENCSR861FGB	bronze
ENCSR719NAJ	gold
ENCSR067UNX	silver
ENCSR185LWM	silver
ENCSR026ZRP	bronze
ENCSR767VHR	bronze
ENCSR000AGC	ungradable
ENCSR805QYO	bronze
ENCSR822EWO	bronze
ENCSR000AHH	bronze
ENCSR000AGG	ungradable
ENCSR000AGI	ungradable
ENCSR388ZNJ	silver
ENCSR558PXY	silver
ENCSR931JJP	gold
ENCSR686QUF	gold
ENCSR266MPW	gold
ENCSR908PCO	gold
ENCSR362HMX	silver
ENCSR654CAE	gold
ENCSR488BHJ	silver
ENCSR499USJ	ungradable
ENCSR000AJD	bronze
ENCSR933YHX	ungradable
ENCSR951PAO	ungradable
ENCSR800IUG	ungradable
ENCSR352QNT	ungradable
ENCSR391DGX	ungradable
ENCSR854COR	ungradable
ENCSR510XBP	ungradable
ENCSR132IJG	ungradable
ENCSR784SMP	ungradable
ENCSR358IBS	ungradable
ENCSR593EDV	ungradable
ENCSR150RTP	ungradable
ENCSR938DJJ	ungradable
ENCSR913RSM	ungradable
ENCSR317JIG	ungradable
ENCSR202LWX	ungradable
ENCSR209EQG	ungradable
ENCSR371PPE	ungradable
ENCSR369OAV	ungradable
ENCSR204TPC	ungradable
ENCSR951QWU	ungradable
ENCSR894SKI	ungradable
ENCSR528DTF	ungradable
ENCSR570ISA	ungradable
ENCSR582YQI	ungradable
ENCSR325UDI	ungradable
ENCSR015EJF	ungradable
ENCSR643FBX	ungradable
ENCSR448TBE	ungradable
ENCSR244ZEP	ungradable
ENCSR968ELO	ungradable
ENCSR457BTR	ungradable
ENCSR630QYS	ungradable
ENCSR356BUO	ungradable
ENCSR645RHS	ungradable
ENCSR786HMJ	ungradable
ENCSR792DJY	ungradable
ENCSR663EGU	ungradable
ENCSR083SSY	ungradable
ENCSR485FOL	ungradable
ENCSR642FWL	ungradable
ENCSR000AFQ	bronze
ENCSR000AFP	bronze
ENCSR740DKM	bronze
ENCSR950BNG	bronze
ENCSR000AFW	bronze
ENCSR571FTT	bronze
ENCSR000AAG	silver
ENCSR137RHZ	bronze
ENCSR000AFT	bronze
ENCSR807KQN	bronze
ENCSR115TWD	bronze
ENCSR932TRU	gold
ENCSR000AAD	silver
ENCSR661TLW	silver
ENCSR878EUT	silver
ENCSR069PIG	ungradable
ENCSR520WBE	ungradable
ENCSR118TVR	silver
ENCSR947AZP	bronze
ENCSR914MFC	ungradable
ENCSR018TLG	ungradable
ENCSR848LXY	silver
ENCSR275QVY	ungradable
ENCSR918HDF	ungradable
ENCSR150QJY	gold
ENCSR313COD	gold
ENCSR645TCG	gold
ENCSR671WMH	gold
ENCSR504NIU	gold
ENCSR080HPT	gold
ENCSR708VVE	gold
ENCSR182CBU	gold
ENCSR796HLX	gold
ENCSR858QEL	gold
ENCSR648OSR	gold
ENCSR434TEU	gold
ENCSR094VRQ	gold
ENCSR098BUF	gold
ENCSR042GYH	gold
ENCSR158KFO	gold
ENCSR729CAZ	gold
ENCSR425RGZ	gold
ENCSR839ZDH	gold
ENCSR272UNO	gold
ENCSR750ETS	gold
ENCSR586SYA	gold
ENCSR671IYC	gold
ENCSR841ADZ	gold
ENCSR748GVH	ungradable
ENCSR023VVO	ungradable
ENCSR808RGU	ungradable
ENCSR678TMV	gold
ENCSR236URT	ungradable
ENCSR859HWB	ungradable
ENCSR609NZM	gold
ENCSR436QDU	gold
ENCSR294NDO	ungradable
ENCSR510QZW	ungradable
ENCSR571RXE	gold
ENCSR457ENP	gold
ENCSR391VGU	gold
ENCSR226KML	gold
ENCSR504QMK	gold
ENCSR683VTE	ungradable
ENCSR460YCS	gold
ENCSR723SZV	silver
ENCSR527RFK	bronze
