accession	validation_status
ENCSR000AFI	gold
ENCSR000AAS	gold
ENCSR000AJD	bronze
ENCSR000AAL	gold
ENCSR000AFJ	bronze
ENCSR000AAP	gold
ENCSR000AAR	gold
ENCSR000AEF	gold
ENCSR667JTA	bronze
ENCSR362HMX	gold
ENCSR946PCR	ungradable
ENCSR423XRG	bronze
ENCSR880EGO	gold
ENCSR499USJ	ungradable
ENCSR266MPW	gold
ENCSR118TVR	gold
ENCSR000AAG	silver
ENCSR000AFA	gold
ENCSR000AAN	gold
ENCSR000AAK	gold
ENCSR000AFB	gold
ENCSR000AFZ	gold
ENCSR000AAA	gold
ENCSR000AGB	bronze
ENCSR000AEP	gold
ENCSR000AEO	gold
ENCSR000AGH	silver
ENCSR000AEU	gold
ENCSR000AGI	ungradable
ENCSR000AAE	gold
ENCSR000AAD	gold
ENCSR000AFE	gold
ENCSR000AFF	gold
ENCSR000AFD	gold
ENCSR000AAO	gold
ENCSR000AHH	bronze
ENCSR000AAF	gold
ENCSR000AEW	gold
ENCSR000AEV	gold
ENCSR000AGF	bronze
ENCSR000AGG	ungradable
ENCSR000AEC	gold
ENCSR000AFL	gold
ENCSR000AFN	gold
ENCSR000AJG	bronze
ENCSR796HLX	gold
ENCSR858QEL	gold
ENCSR294NDO	ungradable
ENCSR808RGU	ungradable
ENCSR236URT	ungradable
ENCSR859HWB	ungradable
ENCSR510QZW	ungradable
ENCSR748GVH	ungradable
ENCSR023VVO	ungradable
ENCSR586SYA	gold
ENCSR827IXS	gold
ENCSR683VTE	ungradable
ENCSR313COD	gold
ENCSR750ETS	gold
ENCSR182CBU	gold
ENCSR967JPI	gold
ENCSR035BWW	ungradable
ENCSR351OTL	gold
ENCSR841ADZ	gold
ENCSR436QDU	gold
ENCSR571RXE	gold
ENCSR457ENP	gold
ENCSR740YMS	gold
ENCSR226KML	gold
ENCSR504QMK	gold
ENCSR678TMV	gold
ENCSR609NZM	gold
ENCSR272UNO	gold
ENCSR671IYC	gold
ENCSR354QPN	gold
ENCSR406SAW	gold
ENCSR648OSR	gold
ENCSR667TOX	gold
ENCSR822EWO	bronze
ENCSR276MMH	gold
ENCSR429EWK	gold
ENCSR460YCS	gold
ENCSR933YHX	ungradable
ENCSR951PAO	ungradable
ENCSR800IUG	ungradable
ENCSR150QJY	gold
ENCSR504NIU	gold
ENCSR839ZDH	gold
ENCSR729CAZ	gold
ENCSR528ZKN	gold
ENCSR645TCG	gold
ENCSR671WMH	gold
ENCSR080HPT	gold
ENCSR708VVE	gold
ENCSR094VRQ	gold
ENCSR800WIY	gold
ENCSR098BUF	gold
ENCSR425RGZ	gold
ENCSR035SKV	gold
ENCSR620LQN	gold
ENCSR857WJK	gold
ENCSR158KFO	gold
ENCSR434TEU	gold
ENCSR630VJN	gold
ENCSR094GVZ	gold
ENCSR438YPF	gold
ENCSR042GYH	gold
ENCSR485WBR	gold
ENCSR812AKX	gold
ENCSR919MZM	gold
ENCSR371VGV	gold
ENCSR310FIS	bronze
ENCSR767VHR	silver
ENCSR968WKR	gold
ENCSR468ION	bronze
ENCSR985KAT	bronze
ENCSR254JJM	gold
ENCSR630QYS	ungradable
ENCSR356BUO	ungradable
ENCSR786HMJ	ungradable
ENCSR516XOY	ungradable
ENCSR255NYQ	gold
ENCSR603RPC	bronze
ENCSR211PJW	gold
ENCSR490SQH	gold
ENCSR069PIG	ungradable
ENCSR166QLP	gold
ENCSR784SMP	ungradable
ENCSR358IBS	ungradable
ENCSR571FTT	bronze
ENCSR586SEE	bronze
ENCSR244ZEP	ungradable
ENCSR457BTR	ungradable
ENCSR964EPR	gold
ENCSR822SUG	gold
ENCSR654CAE	gold
ENCSR365ZCS	ungradable
ENCSR292TAP	gold
ENCSR897KTO	gold
ENCSR673PND	gold
ENCSR250STJ	gold
ENCSR908ZAS	gold
ENCSR814JMM	gold
ENCSR244ISQ	silver
ENCSR000AJX	ungradable
ENCSR204TPC	ungradable
ENCSR535VTR	gold
ENCSR136WGP	gold
ENCSR826IXR	gold
ENCSR325UDI	ungradable
ENCSR001HHK	gold
ENCSR209EQG	ungradable
ENCSR669KQU	gold
ENCSR164OCT	gold
ENCSR185LWM	gold
ENCSR663EGU	ungradable
ENCSR568YRP	gold
ENCSR479VCZ	ungradable
ENCSR314LXG	silver
ENCSR584JXD	silver
ENCSR855CYO	gold
ENCSR968ELO	ungradable
ENCSR582YQI	ungradable
ENCSR570ISA	ungradable
ENCSR580GSX	gold
ENCSR489KNQ	bronze
ENCSR569JKX	gold
ENCSR610CDO	bronze
ENCSR805AZV	ungradable
ENCSR825UDE	ungradable
ENCSR643FBX	ungradable
ENCSR792DJY	ungradable
ENCSR083SSY	ungradable
ENCSR828TEI	gold
ENCSR919QJT	gold
ENCSR528DTF	ungradable
ENCSR015EJF	ungradable
ENCSR448TBE	ungradable
ENCSR202LWX	ungradable
ENCSR913RSM	ungradable
ENCSR900JSG	gold
ENCSR481OYZ	ungradable
ENCSR382UMJ	ungradable
ENCSR593EDV	ungradable
ENCSR391DGX	ungradable
ENCSR739PEB	gold
ENCSR971KNW	silver
ENCSR352QNT	ungradable
ENCSR971GPJ	gold
ENCSR995JXE	gold
ENCSR894WMQ	gold
ENCSR625QJI	gold
ENCSR905KHW	gold
ENCSR549QME	gold
ENCSR376XXO	bronze
ENCSR807KQN	bronze
ENCSR313IUO	silver
ENCSR696SMK	gold
ENCSR938DJJ	ungradable
ENCSR968YZV	bronze
ENCSR722POQ	bronze
ENCSR415JJO	bronze
ENCSR626WAX	gold
ENCSR390CXB	ungradable
ENCSR109IQO	bronze
ENCSR198TKA	gold
ENCSR018TLG	ungradable
ENCSR947AZP	gold
ENCSR914MFC	ungradable
ENCSR878EUT	gold
ENCSR000AFH	gold
ENCSR000AAU	gold
ENCSR000AFK	silver
ENCSR000AFQ	bronze
ENCSR000AED	gold
ENCSR000AFO	gold
ENCSR000AEE	gold
ENCSR000AAQ	gold
ENCSR000AFG	gold
ENCSR000AAM	gold
ENCSR000AFC	gold
ENCSR000AEG	gold
ENCSR000AFR	gold
ENCSR000AFS	gold
ENCSR110BDY	gold
ENCSR373BDG	gold
ENCSR815UVL	gold
ENCSR620NSN	gold
ENCSR000AGA	bronze
ENCSR000AAB	gold
ENCSR000AGD	bronze
ENCSR000AAC	gold
ENCSR000AGE	bronze
ENCSR000AEQ	gold
ENCSR000AAJ	gold
ENCSR000AAI	gold
ENCSR000AIZ	gold
ENCSR000AEZ	gold
ENCSR000AGC	ungradable
ENCSR000AFY	bronze
ENCSR000AFX	gold
ENCSR000AEN	gold
ENCSR000AEL	gold
ENCSR000AJU	gold
ENCSR000AFT	bronze
ENCSR000AEY	gold
ENCSR000AAH	gold
ENCSR000AEX	gold
ENCSR000AEM	gold
ENCSR000AFV	bronze
ENCSR379YAE	gold
ENCSR954PZB	gold
ENCSR023ZXN	gold
ENCSR946HWC	gold
ENCSR321PGV	gold
ENCSR391VGU	gold
ENCSR268AXN	gold
ENCSR758TAD	gold
ENCSR236EGS	gold
ENCSR828LSC	gold
ENCSR727QOY	ungradable
ENCSR516XQA	ungradable
ENCSR863MVQ	ungradable
ENCSR365GTN	ungradable
ENCSR291DJH	gold
ENCSR894SKI	ungradable
ENCSR808KCH	ungradable
ENCSR849OTL	ungradable
ENCSR419KEN	ungradable
ENCSR225LWF	ungradable
ENCSR854COR	ungradable
ENCSR510XBP	ungradable
ENCSR132IJG	ungradable
ENCSR150RTP	ungradable
ENCSR052FJA	gold
ENCSR532LJV	gold
ENCSR275QVY	ungradable
ENCSR918HDF	ungradable
ENCSR938LSP	gold
ENCSR661TLW	silver
ENCSR520WBE	ungradable
ENCSR680USE	gold
ENCSR686QUF	gold
ENCSR908PCO	gold
ENCSR946ZYO	gold
ENCSR931JJP	gold
ENCSR488BHJ	gold
ENCSR369RVN	gold
ENCSR504VXC	gold
ENCSR366ZAM	ungradable
ENCSR805QYO	gold
ENCSR837ZLY	gold
ENCSR332DBS	gold
ENCSR233IJT	bronze
ENCSR340NCF	gold
ENCSR420NLC	gold
ENCSR558PXY	silver
ENCSR645RHS	ungradable
ENCSR848LXY	gold
ENCSR236ZIE	silver
ENCSR369OAV	ungradable
ENCSR371PPE	ungradable
ENCSR951QWU	ungradable
ENCSR833HPM	gold
ENCSR181KQJ	gold
ENCSR000AAV	gold
ENCSR000AFM	bronze
ENCSR000AAT	gold
