dataset	output_type	file_format	file_format_type	assembly	md5sum	lab	award	aliases	submitted_file_name
ENCSR702LRW	semi-automated genome annotation	bigBed	bed9	hg19	c28aa3fe65b2a794e37264c42dd738b1	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E031_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E031_15_coreMarks_mnemonics.bed.gz
ENCSR638FGP	semi-automated genome annotation	bigBed	bed9	hg19	3201c14804c6c14f056dc407ca904d3a	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E121_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E121_15_coreMarks_mnemonics.bed.gz
ENCSR631CFZ	semi-automated genome annotation	bigBed	bed9	hg19	d41dcd9aa94c89f1c5fdf38ac9e07abc	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E072_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E072_15_coreMarks_mnemonics.bed.gz
ENCSR106SJE	semi-automated genome annotation	bigBed	bed9	hg19	f28e9802cc7aa5d6fcd5cf880b12534d	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E120_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E120_15_coreMarks_mnemonics.bed.gz
ENCSR012JCL	semi-automated genome annotation	bigBed	bed9	hg19	15d133ba560d69fe542ad278dff64229	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E023_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E023_15_coreMarks_mnemonics.bed.gz
ENCSR102FJT	semi-automated genome annotation	bigBed	bed9	hg19	70a1d015b759458c1602b78cd64ae697	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E077_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E077_15_coreMarks_mnemonics.bed.gz
ENCSR218SQV	semi-automated genome annotation	bigBed	bed9	hg19	de421409e04e38079da2bac45ce45706	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E068_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E068_15_coreMarks_mnemonics.bed.gz
ENCSR387EOP	semi-automated genome annotation	bigBed	bed9	hg19	ea3083832bda22edfdc4d26efee6106e	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E076_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E076_15_coreMarks_mnemonics.bed.gz
ENCSR030ROG	semi-automated genome annotation	bigBed	bed9	hg19	d3d9f871e3dc897c77d248f2b2b6ae14	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E091_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E091_15_coreMarks_mnemonics.bed.gz
ENCSR555XQR	semi-automated genome annotation	bigBed	bed9	hg19	e85c1b0fa461388ae5caa08ad8445dd0	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E011_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E011_15_coreMarks_mnemonics.bed.gz
ENCSR845EXP	semi-automated genome annotation	bigBed	bed9	hg19	af64da77733ee2dec0ec1143a69ab24f	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E125_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E125_15_coreMarks_mnemonics.bed.gz
ENCSR137DTT	semi-automated genome annotation	bigBed	bed9	hg19	916192160b660f83c594871d6de95c58	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E084_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E084_15_coreMarks_mnemonics.bed.gz
ENCSR435TNG	semi-automated genome annotation	bigBed	bed9	hg19	28432df91cb25c10efdc88b5db9b61dc	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E006_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E006_15_coreMarks_mnemonics.bed.gz
ENCSR333HFX	semi-automated genome annotation	bigBed	bed9	hg19	14c5fa2270472976ff8dd04cf19765de	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E075_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E075_15_coreMarks_mnemonics.bed.gz
ENCSR497SKR	semi-automated genome annotation	bigBed	bed9	hg19	ad26a165b41cf82abf2058a28a5917c3	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E117_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E117_15_coreMarks_mnemonics.bed.gz
ENCSR230YOA	semi-automated genome annotation	bigBed	bed9	hg19	575e8b95861569601b432691e2e6caf9	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E071_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E071_15_coreMarks_mnemonics.bed.gz
ENCSR242AKQ	semi-automated genome annotation	bigBed	bed9	hg19	9d8bbbc20f3579b74932b30206957f4e	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E025_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E025_15_coreMarks_mnemonics.bed.gz
ENCSR114EOL	semi-automated genome annotation	bigBed	bed9	hg19	996ae192c29aa22a90a65b541b473447	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E057_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E057_15_coreMarks_mnemonics.bed.gz
ENCSR226GKP	semi-automated genome annotation	bigBed	bed9	hg19	db050bbfb9f369a9eda59331d6bf91b4	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E010_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E010_15_coreMarks_mnemonics.bed.gz
ENCSR511LLY	semi-automated genome annotation	bigBed	bed9	hg19	f358f361f7d8b31c0a8483b0eb042201	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E067_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E067_15_coreMarks_mnemonics.bed.gz
ENCSR438DQT	semi-automated genome annotation	bigBed	bed9	hg19	34adff8be7aa21844d83aac90e3afe5d	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E034_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E034_15_coreMarks_mnemonics.bed.gz
ENCSR477KTS	semi-automated genome annotation	bigBed	bed9	hg19	1b80d84116d0259af237b8e1efa4d9c3	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E080_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E080_15_coreMarks_mnemonics.bed.gz
ENCSR732LUZ	semi-automated genome annotation	bigBed	bed9	hg19	b069827da6fba0c9f7a091fab70f36b9	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E042_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E042_15_coreMarks_mnemonics.bed.gz
ENCSR730KDH	semi-automated genome annotation	bigBed	bed9	hg19	aed8d58da3080259a3f2ff83e05873b5	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E029_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E029_15_coreMarks_mnemonics.bed.gz
ENCSR647VER	semi-automated genome annotation	bigBed	bed9	hg19	d0b18f8f86f7d859675dce312bcf4809	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E065_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E065_15_coreMarks_mnemonics.bed.gz
ENCSR097DGV	semi-automated genome annotation	bigBed	bed9	hg19	4e82199ec7485bcb1cc79dedbad18b8c	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E088_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E088_15_coreMarks_mnemonics.bed.gz
ENCSR751EUR	semi-automated genome annotation	bigBed	bed9	hg19	31ca65edfa388e8aac792ca11e00a09d	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E020_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E020_15_coreMarks_mnemonics.bed.gz
ENCSR092NKJ	semi-automated genome annotation	bigBed	bed9	hg19	8c8d6bae21f5ba0de5c52ee8c0c92528	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E019_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E019_15_coreMarks_mnemonics.bed.gz
ENCSR132QDU	semi-automated genome annotation	bigBed	bed9	hg19	27748d4848d053abe6a98fc9a2eb00db	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E112_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E112_15_coreMarks_mnemonics.bed.gz
ENCSR914SXP	semi-automated genome annotation	bigBed	bed9	hg19	5b0fefec8654b1e7da18647946a63f2a	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E007_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E007_15_coreMarks_mnemonics.bed.gz
ENCSR926NQL	semi-automated genome annotation	bigBed	bed9	hg19	729a36a142183da6c577d1575413099f	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E087_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E087_15_coreMarks_mnemonics.bed.gz
ENCSR554TYJ	semi-automated genome annotation	bigBed	bed9	hg19	221cee87ffb1b298bae5c29be5c36ab6	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E049_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E049_15_coreMarks_mnemonics.bed.gz
ENCSR472MUD	semi-automated genome annotation	bigBed	bed9	hg19	b669b7630bee276e298020c90cbf1ef0	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E038_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E038_15_coreMarks_mnemonics.bed.gz
ENCSR657AXF	semi-automated genome annotation	bigBed	bed9	hg19	22e3241120df1ff93ff94bbc99401ad8	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E046_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E046_15_coreMarks_mnemonics.bed.gz
ENCSR357PSK	semi-automated genome annotation	bigBed	bed9	hg19	aa91dc137a40737ad8d4102ade6a4622	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E101_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E101_15_coreMarks_mnemonics.bed.gz
ENCSR778VCW	semi-automated genome annotation	bigBed	bed9	hg19	09af04934795c3c9899543381765aa7c	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E005_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E005_15_coreMarks_mnemonics.bed.gz
ENCSR817TZJ	semi-automated genome annotation	bigBed	bed9	hg19	9b6d039b2962670727cf2a1c7dea5dc5	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E051_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E051_15_coreMarks_mnemonics.bed.gz
ENCSR582VJY	semi-automated genome annotation	bigBed	bed9	hg19	2003d53e6d8e1c3b5162f8510db04425	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E126_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E126_15_coreMarks_mnemonics.bed.gz
ENCSR535DCE	semi-automated genome annotation	bigBed	bed9	hg19	7af602e7e1903f474843b3651eb95686	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E108_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E108_15_coreMarks_mnemonics.bed.gz
ENCSR470JBD	semi-automated genome annotation	bigBed	bed9	hg19	7effc647d1f48bd5df7129ee6bbbe779	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E074_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E074_15_coreMarks_mnemonics.bed.gz
ENCSR323UGM	semi-automated genome annotation	bigBed	bed9	hg19	491ec92e91ceeb3bdebd4dad72c43c82	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E124_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E124_15_coreMarks_mnemonics.bed.gz
ENCSR576EUL	semi-automated genome annotation	bigBed	bed9	hg19	49954c484d1e55463832ef749209c8cf	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E109_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E109_15_coreMarks_mnemonics.bed.gz
ENCSR922ASQ	semi-automated genome annotation	bigBed	bed9	hg19	b83a85f1778a08289fb37b23fb655856	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E012_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E012_15_coreMarks_mnemonics.bed.gz
ENCSR294MFM	semi-automated genome annotation	bigBed	bed9	hg19	2bd4ec1d5973f3ae2a2562b5158e6c2a	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E078_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E078_15_coreMarks_mnemonics.bed.gz
ENCSR352UHI	semi-automated genome annotation	bigBed	bed9	hg19	0535314a9da9c62960d4ea112120f206	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E026_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E026_15_coreMarks_mnemonics.bed.gz
ENCSR573QKB	semi-automated genome annotation	bigBed	bed9	hg19	e311cf196c8a2ef52d7bcb60ccbe163e	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E039_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E039_15_coreMarks_mnemonics.bed.gz
ENCSR648FUF	semi-automated genome annotation	bigBed	bed9	hg19	ac41e29a0291b93983b874daba8f1bba	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E063_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E063_15_coreMarks_mnemonics.bed.gz
ENCSR550VPH	semi-automated genome annotation	bigBed	bed9	hg19	5604eeef765da03ab1e41ae95c95046b	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E062_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E062_15_coreMarks_mnemonics.bed.gz
ENCSR818OJQ	semi-automated genome annotation	bigBed	bed9	hg19	8b3027e25095e9119d5bc605d7aaa507	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E082_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E082_15_coreMarks_mnemonics.bed.gz
ENCSR345LHV	semi-automated genome annotation	bigBed	bed9	hg19	f583181e3343dbc436eca468f05417c3	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E115_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E115_15_coreMarks_mnemonics.bed.gz
ENCSR294MLC	semi-automated genome annotation	bigBed	bed9	hg19	af8427def9ce92cbc2d00f0fa8e87040	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E052_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E052_15_coreMarks_mnemonics.bed.gz
ENCSR754XUG	semi-automated genome annotation	bigBed	bed9	hg19	0455b72513faf85a0e1242ae53e005d8	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E102_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E102_15_coreMarks_mnemonics.bed.gz
ENCSR216UCB	semi-automated genome annotation	bigBed	bed9	hg19	3ece1a06bb0cdacfbe4f089099d49e11	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E043_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E043_15_coreMarks_mnemonics.bed.gz
ENCSR538BFF	semi-automated genome annotation	bigBed	bed9	hg19	b7e21ee4875550e9123381f1856e4194	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E116_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E116_15_coreMarks_mnemonics.bed.gz
ENCSR042YNR	semi-automated genome annotation	bigBed	bed9	hg19	79747b907e268233e5e15f12f20911b1	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E119_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E119_15_coreMarks_mnemonics.bed.gz
ENCSR201LRG	semi-automated genome annotation	bigBed	bed9	hg19	9f2714398048ddbbd162d35d85ef6ac2	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E015_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E015_15_coreMarks_mnemonics.bed.gz
ENCSR672ISD	semi-automated genome annotation	bigBed	bed9	hg19	920728535557baa1308c67d8411b7bf4	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E073_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E073_15_coreMarks_mnemonics.bed.gz
ENCSR852SYY	semi-automated genome annotation	bigBed	bed9	hg19	2dfcf88491e43a15d1dff99df1582744	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E058_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E058_15_coreMarks_mnemonics.bed.gz
ENCSR592CXT	semi-automated genome annotation	bigBed	bed9	hg19	1f123f1af0c0539f734ceaeaccaa184b	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E003_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E003_15_coreMarks_mnemonics.bed.gz
ENCSR685OAU	semi-automated genome annotation	bigBed	bed9	hg19	10ddd59f15ab1a3c924319819d3990a7	c7833572-0bba-4835-9d22-a45f39250d8d	b15147e2-eadb-44f3-bb89-597657a01d47	roadmap-epigenomics:E122_15_coreMarks_dense.bed.gz	s3://regulomedb/Histone_Modification/REMC_core_127/E122_15_coreMarks_mnemonics.bed.gz
