Experiment Accession	Experiment Aliases	File Accession	File Aliases	Submitted File Name	Bio Rep Num	Tech Rep Num	Replicate Aliases	Library Accession	Library Aliases	Date Created
ENCSR835YBD	['bradley-bernstein:Project Element 1503']	ENCFF253BOW	['bradley-bernstein:Rep_DNA_Lib 6966_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/069/66/bradley-bernstein_Rep_DNA_Lib_6966.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 6966']	ENCLB351BJB	['bradley-bernstein:DNA_Lib 6966']	2015-12-23T12:50:52.083611+00:00
ENCSR835YBD	['bradley-bernstein:Project Element 1503']	ENCFF719XRW	['bradley-bernstein:Rep_DNA_Lib 6113_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/13/bradley-bernstein_Rep_DNA_Lib_6113.2.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 6113']	ENCLB241KFU	['bradley-bernstein:DNA_Lib 6113']	2015-12-23T14:24:37.152386+00:00
ENCSR835YBD	['bradley-bernstein:Project Element 1503']	ENCFF717MKY	['bradley-bernstein:Rep_DNA_Lib 6113_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/13/bradley-bernstein_Rep_DNA_Lib_6113.1.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 6113']	ENCLB241KFU	['bradley-bernstein:DNA_Lib 6113']	2015-12-23T14:22:09.752074+00:00
ENCSR409FGC	['bradley-bernstein:Project Element 1490']	ENCFF851GHE	['bradley-bernstein:Rep_DNA_Lib 7019_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/070/19/bradley-bernstein_Rep_DNA_Lib_7019.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 7019']	ENCLB014IRB	['bradley-bernstein:DNA_Lib 7019']	2015-12-22T23:40:50.652224+00:00
ENCSR409FGC	['bradley-bernstein:Project Element 1490']	ENCFF808PAO	['bradley-bernstein:Rep_DNA_Lib 6169_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/69/bradley-bernstein_Rep_DNA_Lib_6169.2.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 6169']	ENCLB001MNW	['bradley-bernstein:DNA_Lib 6169']	2015-12-22T23:24:31.000303+00:00
ENCSR409FGC	['bradley-bernstein:Project Element 1490']	ENCFF765UYP	['bradley-bernstein:Rep_DNA_Lib 6169_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/69/bradley-bernstein_Rep_DNA_Lib_6169.1.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 6169']	ENCLB001MNW	['bradley-bernstein:DNA_Lib 6169']	2015-12-22T23:23:19.840556+00:00
ENCSR596PFU	['bradley-bernstein:Project Element 2326']	ENCFF015KLH	['bradley-bernstein:Rep_DNA_Lib 7583_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/075/83/bradley-bernstein_Rep_DNA_Lib_7583.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 7583']	ENCLB149DDE	['bradley-bernstein:DNA_Lib 7583']	2015-12-23T14:19:54.295186+00:00
ENCSR162DGX	['bradley-bernstein:Project Element 1413']	ENCFF864CRK	['bradley-bernstein:Rep_DNA_Lib 2043_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/020/43/bradley-bernstein_Rep_DNA_Lib_2043.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 2043']	ENCLB452TRM	['bradley-bernstein:DNA_Lib 2043']	2014-10-27T04:46:41.365673+00:00
ENCSR162DGX	['bradley-bernstein:Project Element 1413']	ENCFF500ATS	['bradley-bernstein:Rep_DNA_Lib 2658_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/026/58/bradley-bernstein_Rep_DNA_Lib_2658.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 2658']	ENCLB366WQS	['bradley-bernstein:DNA_Lib 2658']	2014-10-27T05:37:38.174890+00:00
ENCSR000AUX	[]	ENCFF000AND	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20H2azRawDataRep1.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 2051']	ENCLB695ABO	['bradley-bernstein:DNA_Lib 2051']	2010-11-16
ENCSR000AUX	[]	ENCFF000ANE	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20H2azRawDataRep2.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 956']	ENCLB695ABN	['bradley-bernstein:DNA_Lib 956']	2010-11-16
ENCSR000AUV	[]	ENCFF000AMR	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20CtcfRawDataRep3.fastq.gz	3	1	['bradley-bernstein:Rep_DNA_Lib 953']	ENCLB695AQQ	['bradley-bernstein:DNA_Lib 953']	2010-11-16
ENCSR000AUV	[]	ENCFF000AMS	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20CtcfRawDataRep2.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 2048']	ENCLB695APF	['bradley-bernstein:DNA_Lib 2048']	2010-11-16
ENCSR000AUV	[]	ENCFF000AMU	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20CtcfRawDataRep1.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 2031']	ENCLB695AQP	['bradley-bernstein:DNA_Lib 2031']	2010-11-16
ENCSR000ASW	[]	ENCFF000AOP	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneDnd41Ezh239875RawDataRep1.fastq.gz	1	1	[]	ENCLB695ARO	[]	2010-11-16
ENCSR000ASW	[]	ENCFF000AOQ	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneDnd41Ezh239875RawDataRep2.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 1663']	ENCLB695ARQ	['bradley-bernstein:DNA_Lib 1663']	2010-11-16
ENCSR000ASW	[]	ENCFF000AOR	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneDnd41Ezh239875RawDataRep3.fastq.gz	3	1	['bradley-bernstein:Rep_DNA_Lib 1661']	ENCLB695ARP	['bradley-bernstein:DNA_Lib 1661']	2010-11-16
ENCSR564VIX	['bradley-bernstein:Project Element 1406']	ENCFF312CZM	['bradley-bernstein:Rep_DNA_Lib 4792_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/047/92/bradley-bernstein_Rep_DNA_Lib_4792.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 4792']	ENCLB583BNU	['bradley-bernstein:DNA_Lib 4792']	2014-10-24T17:20:08.731180+00:00
ENCSR564VIX	['bradley-bernstein:Project Element 1406']	ENCFF899UUK	['bradley-bernstein:Rep_DNA_Lib 4791_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/047/91/bradley-bernstein_Rep_DNA_Lib_4791.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 4791']	ENCLB965XUW	['bradley-bernstein:DNA_Lib 4791']	2014-10-25T05:13:08.156841+00:00
ENCSR900HAP	['bradley-bernstein:Project Element 21']	ENCFF002AWQ	['bradley-bernstein:Rep_DNA_Lib 421_SE']	Libraries/004/21/bradley-bernstein_Rep_DNA_Lib_421.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 421']	ENCLB324MVF	['bradley-bernstein:DNA_Lib 421']	2014-03-19
ENCSR900HAP	['bradley-bernstein:Project Element 21']	ENCFF002AWZ	['bradley-bernstein:Rep_DNA_Lib 4489_SE']	Libraries/044/89/bradley-bernstein_Rep_DNA_Lib_4489.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 4489']	ENCLB880BVR	['bradley-bernstein:DNA_Lib 4489']	2014-03-19
ENCSR900HAP	['bradley-bernstein:Project Element 21']	ENCFF002AXX	['bradley-bernstein:Rep_DNA_Lib 2607_SE']	Libraries/026/07/bradley-bernstein_Rep_DNA_Lib_2607.fastq.gz	3	1	['bradley-bernstein:Rep_DNA_Lib 2607']	ENCLB251QDF	['bradley-bernstein:DNA_Lib 2607']	2014-03-20
ENCSR543IKB	['bradley-bernstein:Project Element 22']	ENCFF002ATY	['bradley-bernstein:Rep_DNA_Lib 419_SE']	Libraries/004/19/bradley-bernstein_Rep_DNA_Lib_419.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 419']	ENCLB361PHC	['bradley-bernstein:DNA_Lib 419']	2014-03-19
ENCSR543IKB	['bradley-bernstein:Project Element 22']	ENCFF002AXZ	['bradley-bernstein:Rep_DNA_Lib 2604_SE']	Libraries/026/04/bradley-bernstein_Rep_DNA_Lib_2604.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 2604']	ENCLB977ZQC	['bradley-bernstein:DNA_Lib 2604']	2014-03-20
ENCSR402IDP	['bradley-bernstein:Project Element 958']	ENCFF908KEB	['bradley-bernstein:Rep_DNA_Lib 4579_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/045/79/bradley-bernstein_Rep_DNA_Lib_4579.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 4579']	ENCLB925HKY	['bradley-bernstein:DNA_Lib 4579']	2014-10-24T17:22:26.284864+00:00
ENCSR402IDP	['bradley-bernstein:Project Element 958']	ENCFF582BLP	['bradley-bernstein:Rep_DNA_Lib 5558_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/055/58/bradley-bernstein_Rep_DNA_Lib_5558.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 5558']	ENCLB636JTM	['bradley-bernstein:DNA_Lib 5558']	2014-10-27T05:45:39.706542+00:00
ENCSR464DKE	['bradley-bernstein:Project Element 23']	ENCFF002ATZ	['bradley-bernstein:Rep_DNA_Lib 418_SE']	Libraries/004/18/bradley-bernstein_Rep_DNA_Lib_418.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 418']	ENCLB415QBM	['bradley-bernstein:DNA_Lib 418']	2014-03-19
ENCSR464DKE	['bradley-bernstein:Project Element 23']	ENCFF002AXG	['bradley-bernstein:Rep_DNA_Lib 4484_SE']	Libraries/044/84/bradley-bernstein_Rep_DNA_Lib_4484.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 4484']	ENCLB938OTD	['bradley-bernstein:DNA_Lib 4484']	2014-03-20
ENCSR559IFS	['bradley-bernstein:Project Element 1478']	ENCFF922JKP	['bradley-bernstein:Rep_DNA_Lib 6825_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/25/bradley-bernstein_Rep_DNA_Lib_6825.1.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 6825']	ENCLB404EIB	['bradley-bernstein:DNA_Lib 6825']	2015-12-11T14:54:36.268446+00:00
ENCSR559IFS	['bradley-bernstein:Project Element 1478']	ENCFF012JFB	['bradley-bernstein:Rep_DNA_Lib 6174_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/74/bradley-bernstein_Rep_DNA_Lib_6174.1.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 6174']	ENCLB672RPF	['bradley-bernstein:DNA_Lib 6174']	2015-12-11T16:36:40.373980+00:00
ENCSR559IFS	['bradley-bernstein:Project Element 1478']	ENCFF481MOE	['bradley-bernstein:Rep_DNA_Lib 6825_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/068/25/bradley-bernstein_Rep_DNA_Lib_6825.2.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 6825']	ENCLB404EIB	['bradley-bernstein:DNA_Lib 6825']	2015-12-11T17:19:28.847721+00:00
ENCSR559IFS	['bradley-bernstein:Project Element 1478']	ENCFF617UKO	['bradley-bernstein:Rep_DNA_Lib 6174_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/74/bradley-bernstein_Rep_DNA_Lib_6174.2.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 6174']	ENCLB672RPF	['bradley-bernstein:DNA_Lib 6174']	2015-12-11T17:34:52.182981+00:00
ENCSR634OAQ	['bradley-bernstein:Project Element 1474']	ENCFF855LSJ	['bradley-bernstein:Rep_DNA_Lib 6823_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/23/bradley-bernstein_Rep_DNA_Lib_6823.1.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 6823']	ENCLB683XWX	['bradley-bernstein:DNA_Lib 6823']	2015-12-10T17:55:47.889391+00:00
ENCSR634OAQ	['bradley-bernstein:Project Element 1474']	ENCFF983UPK	['bradley-bernstein:Rep_DNA_Lib 6823_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/068/23/bradley-bernstein_Rep_DNA_Lib_6823.2.fastq.gz	2	1	['bradley-bernstein:Rep_DNA_Lib 6823']	ENCLB683XWX	['bradley-bernstein:DNA_Lib 6823']	2015-12-11T14:52:48.514646+00:00
ENCSR634OAQ	['bradley-bernstein:Project Element 1474']	ENCFF733LFK	['bradley-bernstein:Rep_DNA_Lib 6170_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/70/bradley-bernstein_Rep_DNA_Lib_6170.1.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 6170']	ENCLB567QTM	['bradley-bernstein:DNA_Lib 6170']	2015-12-11T15:26:01.686250+00:00
ENCSR634OAQ	['bradley-bernstein:Project Element 1474']	ENCFF601GHH	['bradley-bernstein:Rep_DNA_Lib 6170_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/70/bradley-bernstein_Rep_DNA_Lib_6170.2.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 6170']	ENCLB567QTM	['bradley-bernstein:DNA_Lib 6170']	2015-12-11T16:27:29.186430+00:00
ENCSR082NQB	['bradley-bernstein:Project Element 1487']	ENCFF614PIK	['bradley-bernstein:Rep_DNA_Lib 6819_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/19/bradley-bernstein_Rep_DNA_Lib_6819.1.fastq.gz	1	1	['bradley-bernstein:Rep_DNA_Lib 6819']	ENCLB943KMV	['bradley-bernstein:DNA_Lib 6819']	2015-12-10T18:53:48.454471+00:00
