file	status	date_created
ENCFF808PAO	in progress	2015-12-22T23:24:31.000303+00:00
ENCFF851GHE	in progress	2015-12-22T23:40:50.652224+00:00
ENCFF882JGY	in progress	2015-12-23T13:30:28.445375+00:00
ENCFF114PLS	in progress	2015-12-11T14:56:16.136967+00:00
ENCFF570STM	in progress	2015-12-11T17:07:57.417872+00:00
ENCFF110AOO	in progress	2015-12-11T15:41:19.146080+00:00
ENCFF052LZJ	in progress	2015-12-11T14:30:08.192252+00:00
ENCFF073OPB	in progress	2015-12-10T18:21:46.687112+00:00
ENCFF702ZHI	in progress	2015-12-11T16:44:28.745834+00:00
ENCFF076WXX	in progress	2015-12-10T18:20:41.612355+00:00
ENCFF112DNA	in progress	2015-12-11T17:14:26.757978+00:00
ENCFF861QIW	in progress	2015-12-22T21:52:53.595137+00:00
ENCFF834RRG	in progress	2015-12-22T21:49:28.263228+00:00
ENCFF407DUW	in progress	2015-12-22T21:44:50.689710+00:00
ENCFF875CSK	in progress	2015-12-22T21:46:04.079774+00:00
ENCFF361EQE	in progress	2016-02-23T03:00:05.581604+00:00
ENCFF002AVN	in progress	2014-03-19
ENCFF958SNV	in progress	2015-12-11T16:04:45.919798+00:00
ENCFF357JUH	in progress	2015-12-23T12:54:01.182949+00:00
ENCFF838ZUT	in progress	2015-12-10T18:19:54.075723+00:00
ENCFF224PDC	in progress	2015-12-11T16:14:50.159910+00:00
ENCFF170GQM	in progress	2015-05-21T16:43:21.771359+00:00
ENCFF438MMK	in progress	2015-12-11T17:25:35.053488+00:00
ENCFF932CIF	in progress	2015-12-11T15:11:47.073771+00:00
ENCFF938TZP	in progress	2014-10-28T02:11:40.420759+00:00
ENCFF010ZMN	in progress	2015-12-11T15:42:10.392638+00:00
ENCFF931LYY	in progress	2015-12-11T15:06:18.341563+00:00
ENCFF636UQF	in progress	2015-12-11T16:35:05.376001+00:00
ENCFF407ARC	in progress	2015-12-10T18:30:12.113076+00:00
