Experiment Accession	Experiment Aliases	File Accession	File Aliases	Submitted File Name	Date Created	Run Type	Read Length	Paired End	Bio Rep Num	Tech Rep Num	Replicate Aliases	Library Accession	Library Aliases
ENCSR409FGC	['bradley-bernstein:Project Element 1490']	ENCFF851GHE	['bradley-bernstein:Rep_DNA_Lib 7019_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/070/19/bradley-bernstein_Rep_DNA_Lib_7019.fastq.gz	2015-12-22T23:40:50.652224+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7019']	ENCLB014IRB	['bradley-bernstein:DNA_Lib 7019']
ENCSR409FGC	['bradley-bernstein:Project Element 1490']	ENCFF808PAO	['bradley-bernstein:Rep_DNA_Lib 6169_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/69/bradley-bernstein_Rep_DNA_Lib_6169.2.fastq.gz	2015-12-22T23:24:31.000303+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6169']	ENCLB001MNW	['bradley-bernstein:DNA_Lib 6169']
ENCSR409FGC	['bradley-bernstein:Project Element 1490']	ENCFF765UYP	['bradley-bernstein:Rep_DNA_Lib 6169_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/69/bradley-bernstein_Rep_DNA_Lib_6169.1.fastq.gz	2015-12-22T23:23:19.840556+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6169']	ENCLB001MNW	['bradley-bernstein:DNA_Lib 6169']
ENCSR596PFU	['bradley-bernstein:Project Element 2326']	ENCFF015KLH	['bradley-bernstein:Rep_DNA_Lib 7583_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/075/83/bradley-bernstein_Rep_DNA_Lib_7583.fastq.gz	2015-12-23T14:19:54.295186+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7583']	ENCLB149DDE	['bradley-bernstein:DNA_Lib 7583']
ENCSR162DGX	['bradley-bernstein:Project Element 1413']	ENCFF864CRK	['bradley-bernstein:Rep_DNA_Lib 2043_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/020/43/bradley-bernstein_Rep_DNA_Lib_2043.fastq.gz	2014-10-27T04:46:41.365673+00:00	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 2043']	ENCLB452TRM	['bradley-bernstein:DNA_Lib 2043']
ENCSR162DGX	['bradley-bernstein:Project Element 1413']	ENCFF500ATS	['bradley-bernstein:Rep_DNA_Lib 2658_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/026/58/bradley-bernstein_Rep_DNA_Lib_2658.fastq.gz	2014-10-27T05:37:38.174890+00:00	single-ended	36		2	1	['bradley-bernstein:Rep_DNA_Lib 2658']	ENCLB366WQS	['bradley-bernstein:DNA_Lib 2658']
ENCSR000AUX	[]	ENCFF000AND	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20H2azRawDataRep1.fastq.gz	2010-11-16	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 2051']	ENCLB695ABO	['bradley-bernstein:DNA_Lib 2051']
ENCSR000AUX	[]	ENCFF000ANE	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20H2azRawDataRep2.fastq.gz	2010-11-16	single-ended	36		2	1	['bradley-bernstein:Rep_DNA_Lib 956']	ENCLB695ABN	['bradley-bernstein:DNA_Lib 956']
ENCSR000AUV	[]	ENCFF000AMR	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20CtcfRawDataRep3.fastq.gz	2010-11-16	single-ended	36		3	1	['bradley-bernstein:Rep_DNA_Lib 953']	ENCLB695AQQ	['bradley-bernstein:DNA_Lib 953']
ENCSR000AUV	[]	ENCFF000AMS	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20CtcfRawDataRep2.fastq.gz	2010-11-16	single-ended	36		2	1	['bradley-bernstein:Rep_DNA_Lib 2048']	ENCLB695APF	['bradley-bernstein:DNA_Lib 2048']
ENCSR000AUV	[]	ENCFF000AMU	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneCd20CtcfRawDataRep1.fastq.gz	2010-11-16	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 2031']	ENCLB695AQP	['bradley-bernstein:DNA_Lib 2031']
ENCSR000ASW	[]	ENCFF000AOP	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneDnd41Ezh239875RawDataRep1.fastq.gz	2010-11-16	single-ended	36		1	1	[]	ENCLB695ARO	[]
ENCSR000ASW	[]	ENCFF000AOQ	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneDnd41Ezh239875RawDataRep2.fastq.gz	2010-11-16	single-ended	36		2	1	['bradley-bernstein:Rep_DNA_Lib 1663']	ENCLB695ARQ	['bradley-bernstein:DNA_Lib 1663']
ENCSR000ASW	[]	ENCFF000AOR	[]	hg19/wgEncodeBroadHistone/wgEncodeBroadHistoneDnd41Ezh239875RawDataRep3.fastq.gz	2010-11-16	single-ended	36		3	1	['bradley-bernstein:Rep_DNA_Lib 1661']	ENCLB695ARP	['bradley-bernstein:DNA_Lib 1661']
ENCSR564VIX	['bradley-bernstein:Project Element 1406']	ENCFF312CZM	['bradley-bernstein:Rep_DNA_Lib 4792_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/047/92/bradley-bernstein_Rep_DNA_Lib_4792.fastq.gz	2014-10-24T17:20:08.731180+00:00	single-ended	37		1	1	['bradley-bernstein:Rep_DNA_Lib 4792']	ENCLB583BNU	['bradley-bernstein:DNA_Lib 4792']
ENCSR564VIX	['bradley-bernstein:Project Element 1406']	ENCFF899UUK	['bradley-bernstein:Rep_DNA_Lib 4791_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/047/91/bradley-bernstein_Rep_DNA_Lib_4791.fastq.gz	2014-10-25T05:13:08.156841+00:00	single-ended	37		2	1	['bradley-bernstein:Rep_DNA_Lib 4791']	ENCLB965XUW	['bradley-bernstein:DNA_Lib 4791']
ENCSR900HAP	['bradley-bernstein:Project Element 21']	ENCFF002AWQ	['bradley-bernstein:Rep_DNA_Lib 421_SE']	Libraries/004/21/bradley-bernstein_Rep_DNA_Lib_421.fastq.gz	2014-03-19	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 421']	ENCLB324MVF	['bradley-bernstein:DNA_Lib 421']
ENCSR900HAP	['bradley-bernstein:Project Element 21']	ENCFF002AWZ	['bradley-bernstein:Rep_DNA_Lib 4489_SE']	Libraries/044/89/bradley-bernstein_Rep_DNA_Lib_4489.fastq.gz	2014-03-19	single-ended	37		2	1	['bradley-bernstein:Rep_DNA_Lib 4489']	ENCLB880BVR	['bradley-bernstein:DNA_Lib 4489']
ENCSR900HAP	['bradley-bernstein:Project Element 21']	ENCFF002AXX	['bradley-bernstein:Rep_DNA_Lib 2607_SE']	Libraries/026/07/bradley-bernstein_Rep_DNA_Lib_2607.fastq.gz	2014-03-20	single-ended	36		3	1	['bradley-bernstein:Rep_DNA_Lib 2607']	ENCLB251QDF	['bradley-bernstein:DNA_Lib 2607']
ENCSR543IKB	['bradley-bernstein:Project Element 22']	ENCFF002ATY	['bradley-bernstein:Rep_DNA_Lib 419_SE']	Libraries/004/19/bradley-bernstein_Rep_DNA_Lib_419.fastq.gz	2014-03-19	single-ended	36		2	1	['bradley-bernstein:Rep_DNA_Lib 419']	ENCLB361PHC	['bradley-bernstein:DNA_Lib 419']
ENCSR543IKB	['bradley-bernstein:Project Element 22']	ENCFF002AXZ	['bradley-bernstein:Rep_DNA_Lib 2604_SE']	Libraries/026/04/bradley-bernstein_Rep_DNA_Lib_2604.fastq.gz	2014-03-20	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 2604']	ENCLB977ZQC	['bradley-bernstein:DNA_Lib 2604']
ENCSR402IDP	['bradley-bernstein:Project Element 958']	ENCFF908KEB	['bradley-bernstein:Rep_DNA_Lib 4579_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/045/79/bradley-bernstein_Rep_DNA_Lib_4579.fastq.gz	2014-10-24T17:22:26.284864+00:00	single-ended	36		2	1	['bradley-bernstein:Rep_DNA_Lib 4579']	ENCLB925HKY	['bradley-bernstein:DNA_Lib 4579']
ENCSR402IDP	['bradley-bernstein:Project Element 958']	ENCFF582BLP	['bradley-bernstein:Rep_DNA_Lib 5558_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/055/58/bradley-bernstein_Rep_DNA_Lib_5558.fastq.gz	2014-10-27T05:45:39.706542+00:00	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 5558']	ENCLB636JTM	['bradley-bernstein:DNA_Lib 5558']
