File Accession	Annotation	Cell Line	Target	Experiment Accession	Experiment Aliases	Biosample Accession	Biosample Aliases	Library Accession	Library Aliases	Lab	Submitted Name
ENCFF656HFZ		HepG2	/targets/PUM1-human/	ENCSR945XKW	['brenton-graveley:PUM1-BGHLV23']	ENCBS844EBE	['brenton-graveley:PUM1-BGHLV23-33']	ENCLB273BQY	['brenton-graveley:L-PUM1-BGHLV23-33']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set23/tophat/novel_juncs/PUM1-BGHLV23-33/merged.bam
ENCFF005EIM		HepG2	/targets/PUM1-human/	ENCSR945XKW	['brenton-graveley:PUM1-BGHLV23']	ENCBS464VEI	['brenton-graveley:PUM1-BGHLV23-34']	ENCLB635VFD	['brenton-graveley:L-PUM1-BGHLV23-34']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set23/tophat/novel_juncs/PUM1-BGHLV23-34/merged.bam
ENCFF300LBV	V19	HepG2	/targets/PUM1-human/	ENCSR945XKW	['brenton-graveley:PUM1-BGHLV23']	ENCBS844EBE	['brenton-graveley:PUM1-BGHLV23-33']	ENCLB273BQY	['brenton-graveley:L-PUM1-BGHLV23-33']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR945XKW/rep1_1/ENCSR945XKW_rep1_1_star_genome.bam
ENCFF024QBL	V19	HepG2	/targets/PUM1-human/	ENCSR945XKW	['brenton-graveley:PUM1-BGHLV23']	ENCBS844EBE	['brenton-graveley:PUM1-BGHLV23-33']	ENCLB273BQY	['brenton-graveley:L-PUM1-BGHLV23-33']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR945XKW/rep1_1/ENCSR945XKW_rep1_1_star_anno.bam
ENCFF261TUX	V19	HepG2	/targets/PUM1-human/	ENCSR945XKW	['brenton-graveley:PUM1-BGHLV23']	ENCBS464VEI	['brenton-graveley:PUM1-BGHLV23-34']	ENCLB635VFD	['brenton-graveley:L-PUM1-BGHLV23-34']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR945XKW/rep2_1/ENCSR945XKW_rep2_1_star_genome.bam
ENCFF009MHQ	V19	HepG2	/targets/PUM1-human/	ENCSR945XKW	['brenton-graveley:PUM1-BGHLV23']	ENCBS464VEI	['brenton-graveley:PUM1-BGHLV23-34']	ENCLB635VFD	['brenton-graveley:L-PUM1-BGHLV23-34']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR945XKW/rep2_1/ENCSR945XKW_rep2_1_star_anno.bam
ENCFF230XEA	V19	HepG2	/targets/PUM1-human/	ENCSR945XKW	['brenton-graveley:PUM1-BGHLV23']	ENCBS844EBE	['brenton-graveley:PUM1-BGHLV23-33']	ENCLB273BQY	['brenton-graveley:L-PUM1-BGHLV23-33']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR945XKW/rep1_1/ENCSR945XKW_rep1_1_tophat.bam
ENCFF658CZK	V19	HepG2	/targets/PUM1-human/	ENCSR945XKW	['brenton-graveley:PUM1-BGHLV23']	ENCBS464VEI	['brenton-graveley:PUM1-BGHLV23-34']	ENCLB635VFD	['brenton-graveley:L-PUM1-BGHLV23-34']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR945XKW/rep2_1/ENCSR945XKW_rep2_1_tophat.bam
ENCFF692EUM		HepG2	/targets/EIF4G1-human/	ENCSR509LIV	['brenton-graveley:EIF4G1-BGHLV23']	ENCBS610UML	['brenton-graveley:EIF4G1-BGHLV23-14']	ENCLB242ZVA	['brenton-graveley:L-EIF4G1-BGHLV23-14']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set23/tophat/novel_juncs/EIF4G1-BGHLV23-14/merged.bam
ENCFF648QEW		HepG2	/targets/EIF4G1-human/	ENCSR509LIV	['brenton-graveley:EIF4G1-BGHLV23']	ENCBS258IBQ	['brenton-graveley:EIF4G1-BGHLV23-13']	ENCLB315NEG	['brenton-graveley:L-EIF4G1-BGHLV23-13']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set23/tophat/novel_juncs/EIF4G1-BGHLV23-13/merged.bam
ENCFF756IDB	V19	HepG2	/targets/EIF4G1-human/	ENCSR509LIV	['brenton-graveley:EIF4G1-BGHLV23']	ENCBS258IBQ	['brenton-graveley:EIF4G1-BGHLV23-13']	ENCLB315NEG	['brenton-graveley:L-EIF4G1-BGHLV23-13']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR509LIV/rep1_1/ENCSR509LIV_rep1_1_star_genome.bam
ENCFF995LZN	V19	HepG2	/targets/EIF4G1-human/	ENCSR509LIV	['brenton-graveley:EIF4G1-BGHLV23']	ENCBS258IBQ	['brenton-graveley:EIF4G1-BGHLV23-13']	ENCLB315NEG	['brenton-graveley:L-EIF4G1-BGHLV23-13']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR509LIV/rep1_1/ENCSR509LIV_rep1_1_star_anno.bam
ENCFF563CZX	V19	HepG2	/targets/EIF4G1-human/	ENCSR509LIV	['brenton-graveley:EIF4G1-BGHLV23']	ENCBS610UML	['brenton-graveley:EIF4G1-BGHLV23-14']	ENCLB242ZVA	['brenton-graveley:L-EIF4G1-BGHLV23-14']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR509LIV/rep2_1/ENCSR509LIV_rep2_1_star_genome.bam
ENCFF447GOE	V19	HepG2	/targets/EIF4G1-human/	ENCSR509LIV	['brenton-graveley:EIF4G1-BGHLV23']	ENCBS610UML	['brenton-graveley:EIF4G1-BGHLV23-14']	ENCLB242ZVA	['brenton-graveley:L-EIF4G1-BGHLV23-14']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR509LIV/rep2_1/ENCSR509LIV_rep2_1_star_anno.bam
ENCFF455SUW	V19	HepG2	/targets/EIF4G1-human/	ENCSR509LIV	['brenton-graveley:EIF4G1-BGHLV23']	ENCBS258IBQ	['brenton-graveley:EIF4G1-BGHLV23-13']	ENCLB315NEG	['brenton-graveley:L-EIF4G1-BGHLV23-13']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR509LIV/rep1_1/ENCSR509LIV_rep1_1_tophat.bam
ENCFF524JFW	V19	HepG2	/targets/EIF4G1-human/	ENCSR509LIV	['brenton-graveley:EIF4G1-BGHLV23']	ENCBS610UML	['brenton-graveley:EIF4G1-BGHLV23-14']	ENCLB242ZVA	['brenton-graveley:L-EIF4G1-BGHLV23-14']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR509LIV/rep2_1/ENCSR509LIV_rep2_1_tophat.bam
