accession	validation_status
ENCSR219DXZ	bronze
ENCSR562CCA	bronze
ENCSR850FEH	bronze
ENCSR269SJB	bronze
ENCSR851KEX	bronze
ENCSR130KQK	ungradable
ENCSR542ESY	bronze
ENCSR385TMY	bronze
ENCSR081IAO	ungradable
ENCSR968YWY	ungradable
ENCSR285PBW	ungradable
ENCSR492XPG	ungradable
ENCSR729AQL	ungradable
ENCSR676EKU	ungradable
ENCSR363AJY	ungradable
ENCSR268PQV	ungradable
ENCSR853PBF	bronze
ENCSR556FNN	bronze
ENCSR432UUO	ungradable
ENCSR211NBK	ungradable
ENCSR118VQR	bronze
ENCSR563YIS	ungradable
ENCSR530BOP	bronze
ENCSR412XZN	ungradable
ENCSR624XHG	bronze
ENCSR113JEV	ungradable
ENCSR992JGE	unreleasable
ENCSR833FPS	ungradable
ENCSR020BMI	ungradable
ENCSR794NUE	bronze
ENCSR292OXB	ungradable
ENCSR577OVP	bronze
ENCSR278CHI	ungradable
ENCSR678WOA	bronze
ENCSR293BCC	ungradable
ENCSR085BYN	ungradable
ENCSR133TIC	ungradable
ENCSR660ETT	bronze
ENCSR883MIP	ungradable
ENCSR823WTA	ungradable
ENCSR152MON	bronze
ENCSR701ZYO	ungradable
ENCSR400RBY	ungradable
ENCSR145OWN	ungradable
ENCSR124KCF	bronze
ENCSR269HQA	bronze
ENCSR023HWI	bronze
ENCSR754RJA	ungradable
ENCSR676YNJ	ungradable
ENCSR281IUF	ungradable
ENCSR743JOZ	ungradable
ENCSR251ZPW	ungradable
ENCSR127IDM	ungradable
ENCSR778SIU	bronze
ENCSR532ZPP	bronze
ENCSR898OPN	bronze
ENCSR563PHD	ungradable
ENCSR040FSN	bronze
ENCSR416MCK	ungradable
ENCSR082UWF	bronze
ENCSR079LMZ	bronze
ENCSR910ECL	ungradable
ENCSR169QQW	bronze
ENCSR511BNY	bronze
ENCSR048FYG	ungradable
ENCSR605MFS	bronze
ENCSR182GKG	bronze
ENCSR098IDE	ungradable
ENCSR052IYH	bronze
ENCSR328CZU	ungradable
ENCSR847LBG	ungradable
ENCSR843ZTZ	ungradable
ENCSR162LAQ	ungradable
ENCSR871STI	ungradable
ENCSR916GNE	ungradable
ENCSR385KOY	bronze
ENCSR784SKF	ungradable
ENCSR784FTX	bronze
ENCSR962KCM	ungradable
ENCSR410ZLR	ungradable
ENCSR090UMI	bronze
ENCSR611BZT	ungradable
ENCSR105OXX	bronze
ENCSR366FFV	bronze
ENCSR711ZJQ	bronze
ENCSR006GXH	ungradable
ENCSR943LIB	bronze
ENCSR471GIS	bronze
ENCSR004OSI	bronze
ENCSR610VTA	bronze
ENCSR481AYC	bronze
ENCSR648BSC	bronze
ENCSR509LIV	bronze
ENCSR047IUS	bronze
ENCSR835RMN	bronze
ENCSR372MRJ	ungradable
ENCSR047BIC	ungradable
ENCSR591KFU	ungradable
ENCSR928GCX	ungradable
ENCSR511SYK	bronze
ENCSR118KUN	bronze
ENCSR087ZYX	ungradable
ENCSR929PXS	bronze
ENCSR594DNW	bronze
ENCSR516EZW	ungradable
ENCSR829RIO	ungradable
ENCSR570CWH	bronze
ENCSR631RFX	ungradable
ENCSR667RIA	bronze
ENCSR181RLB	bronze
ENCSR766FVQ	ungradable
ENCSR070LJO	bronze
ENCSR770OWW	bronze
ENCSR639LKS	bronze
ENCSR000YYN	ungradable
ENCSR777EDL	bronze
ENCSR769GES	bronze
ENCSR695XOD	bronze
ENCSR392HSJ	bronze
ENCSR244SIO	ungradable
ENCSR112YTD	bronze
ENCSR077BPR	bronze
ENCSR706SXN	bronze
ENCSR274KWA	bronze
ENCSR689ZJC	bronze
ENCSR635FRH	bronze
