accession	validation_status
ENCSR000AJB	gold
ENCSR000AJC	gold
ENCSR953TKB	gold
ENCSR195BCE	gold
ENCSR927IOO	gold
ENCSR295UJP	gold
ENCSR782WIL	gold
ENCSR145EKP	gold
ENCSR710QXP	gold
ENCSR833SOQ	gold
ENCSR888LYA	gold
ENCSR767SOH	gold
ENCSR558LHB	gold
ENCSR086PHI	gold
ENCSR316RMA	gold
ENCSR320PXZ	gold
ENCSR167AWS	gold
ENCSR521YLY	gold
ENCSR662UPQ	gold
ENCSR282DYQ	bronze
ENCSR111QQX	gold
ENCSR708EHJ	gold
ENCSR292IVH	gold
ENCSR527DQV	gold
ENCSR726VVO	gold
ENCSR367DUL	gold
ENCSR789RPP	gold
ENCSR691PPV	gold
ENCSR948NDP	gold
ENCSR828FPS	gold
ENCSR724XFQ	gold
ENCSR435ROA	gold
ENCSR231WUP	gold
ENCSR561KFF	gold
ENCSR244DNF	gold
ENCSR927DHK	gold
ENCSR729ENB	gold
ENCSR101GVL	gold
ENCSR672QFA	gold
ENCSR124ERY	gold
ENCSR184CWK	gold
ENCSR000AJE	gold
ENCSR000AJF	gold
ENCSR940DVT	gold
ENCSR000AJA	gold
ENCSR000AIY	gold
ENCSR390KQJ	gold
ENCSR100KRK	gold
ENCSR198EIH	gold
ENCSR803PLZ	gold
ENCSR577ONT	gold
ENCSR559QTE	gold
ENCSR268IGT	gold
ENCSR027CXR	gold
ENCSR351YGY	gold
ENCSR625DPZ	gold
ENCSR417EDR	gold
ENCSR474NEW	gold
ENCSR530UXI	gold
ENCSR194TNV	gold
ENCSR659SFM	gold
ENCSR921DSM	gold
ENCSR905FLM	gold
ENCSR220HFQ	gold
ENCSR323FHJ	gold
ENCSR909YEQ	gold
ENCSR746LUP	gold
ENCSR739YUO	gold
ENCSR796QJD	gold
ENCSR734SOQ	gold
ENCSR298YHA	gold
ENCSR846FYI	gold
ENCSR427FOY	gold
ENCSR267LBO	gold
ENCSR068SJG	gold
ENCSR980SWK	gold
ENCSR376KFF	gold
ENCSR000AJH	gold
ENCSR659QHV	gold
ENCSR673UIY	gold
ENCSR366QZI	gold
ENCSR610BAM	gold
ENCSR650MMK	gold
ENCSR138VRG	gold
ENCSR775HGC	gold
ENCSR362OYV	gold
ENCSR620HJQ	gold
ENCSR637NLF	gold
